mapping_id,role_id,sub_menu_id,privilege_id,created_by,created_date,last_modified_by,last_modified_date
231,1,45,1,,2026-01-04 10:40:30.498837,,
232,1,45,2,,2026-01-04 10:40:30.498837,,
233,1,45,3,,2026-01-04 10:40:30.498837,,
234,1,45,4,,2026-01-04 10:40:30.498837,,
235,1,46,1,,2026-01-04 10:40:30.498837,,
236,1,46,2,,2026-01-04 10:40:30.498837,,
237,1,46,3,,2026-01-04 10:40:30.498837,,
238,1,46,4,,2026-01-04 10:40:30.498837,,
239,1,47,1,,2026-01-04 10:40:30.498837,,
240,1,47,2,,2026-01-04 10:40:30.498837,,
241,1,47,3,,2026-01-04 10:40:30.498837,,
242,1,47,4,,2026-01-04 10:40:30.498837,,
243,1,48,1,,2026-01-04 10:40:30.498837,,
244,1,48,2,,2026-01-04 10:40:30.498837,,
245,1,48,3,,2026-01-04 10:40:30.498837,,
246,1,48,4,,2026-01-04 10:40:30.498837,,
247,1,49,1,,2026-01-04 10:40:30.498837,,
248,1,49,2,,2026-01-04 10:40:30.498837,,
249,1,49,3,,2026-01-04 10:40:30.498837,,
250,1,49,4,,2026-01-04 10:40:30.498837,,
251,1,50,1,,2026-01-04 10:40:30.498837,,
252,1,50,2,,2026-01-04 10:40:30.498837,,
253,1,50,3,,2026-01-04 10:40:30.498837,,
254,1,50,4,,2026-01-04 10:40:30.498837,,
255,1,51,1,,2026-01-04 10:40:30.498837,,
256,1,51,2,,2026-01-04 10:40:30.498837,,
257,1,51,3,,2026-01-04 10:40:30.498837,,
258,1,51,4,,2026-01-04 10:40:30.498837,,
259,1,52,1,,2026-01-04 10:40:30.498837,,
260,1,52,2,,2026-01-04 10:40:30.498837,,
261,1,52,3,,2026-01-04 10:40:30.498837,,
262,1,52,4,,2026-01-04 10:40:30.498837,,
263,1,53,1,,2026-01-04 10:40:30.498837,,
264,1,53,2,,2026-01-04 10:40:30.498837,,
265,1,53,3,,2026-01-04 10:40:30.498837,,
266,1,53,4,,2026-01-04 10:40:30.498837,,
267,1,54,1,,2026-01-04 10:40:30.498837,,
268,1,54,2,,2026-01-04 10:40:30.498837,,
269,1,54,3,,2026-01-04 10:40:30.498837,,
270,1,54,4,,2026-01-04 10:40:30.498837,,
271,1,55,1,,2026-01-04 10:40:30.498837,,
272,1,55,2,,2026-01-04 10:40:30.498837,,
273,1,55,3,,2026-01-04 10:40:30.498837,,
274,1,55,4,,2026-01-04 10:40:30.498837,,
275,1,56,1,,2026-01-04 10:40:30.498837,,
